FULL DATA SET'data.frame':	10299 obs. of  70 variables:
 $ actlabelnum             : int  1 1 1 1 1 1 1 1 ...
 $ subjectid               : int  7 5 6 23 7 7 11 6 ...
 $ dataset                 : Factor w/ 2 levels "TEST","TRAIN": 2 2 2 2 2 2 2 2 ...
 $ tbodyaccmeanx           : num  0.302 0.343 0.27 0.268 ...
 $ tbodyaccmeany           : num  -0.02688 -0.00343 0.01091 -0.01273 ...
 $ tbodyaccmeanz           : num  -0.0958 -0.1015 -0.0749 -0.0937 ...
 $ tbodyaccstdx            : num  -0.38 -0.201 -0.337 -0.384 ...
 $ tbodyaccstdy            : num  -0.191 0.133 0.146 -0.204 ...
 $ tbodyaccstdz            : num  0.341 -0.318 -0.446 0.148 ...
 $ tgravityaccmeanx        : num  0.902 0.965 0.96 0.944 ...
 $ tgravityaccmeany        : num  -0.137 -0.145 -0.214 -0.159 ...
 $ tgravityaccmeanz        : num  -0.3428 0.0285 0.0505 -0.1425 ...
 $ tgravityaccstdx         : num  -0.953 -0.984 -0.965 -0.981 ...
 $ tgravityaccstdy         : num  -0.937 -0.953 -0.939 -0.973 ...
 $ tgravityaccstdz         : num  -0.921 -0.99 -0.946 -0.966 ...
 $ tbodyaccjerkmeanx       : num  0.1505 -0.1351 0.1262 -0.0358 ...
 $ tbodyaccjerkmeany       : num  -0.2391 -0.0637 0.2083 -0.0136 ...
 $ tbodyaccjerkmeanz       : num  -0.1533 -0.2631 0.0773 0.2511 ...
 $ tbodyaccjerkstdx        : num  -0.472 -0.197 -0.159 -0.333 ...
 $ tbodyaccjerkstdy        : num  -0.1607 -0.0446 0.0551 -0.2088 ...
 $ tbodyaccjerkstdz        : num  -0.0633 -0.4402 -0.4775 -0.0501 ...
 $ tbodygyromeanx          : num  0.2139 -0.0277 -0.0484 -0.0117 ...
 $ tbodygyromeany          : num  -0.049 -0.1253 -0.1036 -0.0135 ...
 $ tbodygyromeanz          : num  -0.2453 0.1229 0.0869 0.1568 ...
 $ tbodygyrostdx           : num  -0.512 -0.448 -0.407 -0.501 ...
 $ tbodygyrostdy           : num  -0.254 -0.394 -0.208 0.178 ...
 $ tbodygyrostdz           : num  -0.404 -0.311 -0.288 -0.305 ...
